scenario,year,Bcm,Tcf,EJ
historical,2010,275,9.711533307,9.899626205
historical,2021,450,15.89159996,16.19938834
IEA-STEPS,2030,559,19.74089861,20.12324018
IEA-STEPS,2050,649,22.91921861,23.36311784
IEA-APS,2030,545,19.24649328,19.61925921
IEA-APS,2050,324,11.44195197,11.6635596
IEA-NZE,2030,443,15.64439729,15.94739785
IEA-NZE,2050,153,5.403143986,5.507792034
