scenario,year,Bcm,Tcf,EJ
historical,2010,366,12.92516797,13.17550251
historical,2021,428,15.11467729,15.40741824
IEA-STEPS,2030,385,13.59614663,13.85947669
IEA-STEPS,2050,342,12.07761597,12.31153514
IEA-APS,2030,288,10.17062397,10.36760853
IEA-APS,2050,173,6.109437317,6.227764849
IEA-NZE,2030,224,7.910485312,8.063695527
IEA-NZE,2050,71,2.507341327,2.555903493
